"Carrier","Departure Delay","Arrival Delay"
"AA",-1.00,-22.00
"AA",-1.00,-23.00
"AA",-1.00,-23.00
"AA",-1.00,-23.00
"AA",-1.00,-23.00
"AA",-1.00,-23.00
"AA",-1.00,-23.00
"AA",-1.00,-23.00
"AA",-1.00,-23.00
"AA",-1.00,-23.00
"AA",-1.00,-23.00
"AA",-1.00,-23.00
"AA",-1.00,-23.00
"AA",-1.00,-23.00
"AA",-1.00,-23.00
"AA",-1.00,-23.00
"AA",-1.00,-23.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-24.00
"AA",-1.00,-25.00
"AA",-1.00,-25.00
"AA",-1.00,-25.00
"AA",-1.00,-25.00
"AA",-1.00,-25.00
"AA",-1.00,-25.00
"AA",-1.00,-25.00
"AA",-1.00,-25.00
"AA",-1.00,-25.00
"AA",-1.00,-25.00
"AA",-1.00,-25.00
"AA",-1.00,-25.00
"AA",-1.00,-25.00
"AA",-1.00,-26.00
"AA",-1.00,-26.00
"AA",-1.00,-26.00
"AA",-1.00,-26.00
"AA",-1.00,-26.00
"AA",-1.00,-26.00
"AA",-1.00,-26.00
"AA",-1.00,-26.00
"AA",-1.00,-26.00
"AA",-1.00,-26.00
"AA",-1.00,-26.00
"AA",-1.00,-26.00
"AA",-1.00,-26.00
"AA",-1.00,-26.00
"AA",-1.00,-26.00
"AA",-1.00,-26.00
"AA",-1.00,-27.00
"AA",-1.00,-27.00
"AA",-1.00,-27.00
"AA",-1.00,-27.00
"AA",-1.00,-27.00
"AA",-1.00,-27.00
"AA",-1.00,-27.00
"AA",-1.00,-27.00
"AA",-1.00,-27.00
